Tree_ID,harvested,latitude,longitude,Species_ID,County_ID,DIA,VOLBFNET
1,1/1/1991 12:28,39.665733,-74.3743,SP01,Co01,11.2,43
2,1/4/1991 16:52,39.41678,-74.66627,SP01,Co02,10.1,29
3,1/5/1991 23:19,39.66678,-74.72183,SP01,Co02,11.4,56.2
4,1/7/1991 14:19,39.383944,-75.138033,SP02,Co03,11.9,65.9
5,1/10/1991 4:05,39.819855,-74.551643,SP01,Co04,10.7,38
6,1/10/1991 4:45,40.064811,-74.422215,SP01,Co01,11.2,47.6
7,1/10/1991 11:35,39.05567,-74.86072,SP01,Co05,9.8,15.6
8,1/14/1991 15:13,39.847581,-74.544927,SP01,Co04,10.8,45.2
9,1/16/1991 23:51,40.024462,-74.442599,SP01,Co01,10.4,39.4
10,1/18/1991 11:24,39.686089,-74.65232,SP03,Co04,10,32.9
11,1/20/1991 17:25,39.892379,-74.483634,SP01,Co04,11.5,55.7
12,1/25/1991 22:24,39.701214,-74.465742,SP01,Co04,10,32.8
13,1/28/1991 23:31,39.557131,-74.956349,SP01,Co06,12,62.7
14,1/29/1991 3:14,39.826534,-74.248635,SP01,Co01,11.4,42.2
15,1/30/1991 7:39,39.69456,-74.91628,SP01,Co07,12,40.8
16,2/1/1991 0:10,39.63901,-74.33292,SP01,Co01,9.6,19.6
17,2/1/1991 12:37,39.971707,-74.369865,SP01,Co01,12.9,73.3
18,2/2/1991 16:23,40.5001,-75.05517,SP01,Co08,13.6,90
19,2/4/1991 1:00,39.484636,-74.509708,SP01,Co02,12.1,72.1
20,2/4/1991 17:43,39.749039,-74.571052,SP01,Co04,11.5,56.8
21,2/6/1991 15:49,39.22256,-74.712678,SP01,Co05,13.7,101
22,2/6/1991 16:16,39.900458,-74.602902,SP04,Co04,16.3,173.8
23,2/6/1991 21:50,40.360394,-74.276618,SP01,Co09,13.4,85.7
24,2/8/1991 6:49,39.603618,-74.898339,SP01,Co06,15.4,119
25,2/8/1991 12:43,39.765734,-74.959542,SP01,Co07,13.2,93.4
26,2/9/1991 17:16,39.331011,-75.163329,SP02,Co03,14.6,118.2
27,2/12/1991 16:33,39.331954,-74.968931,SP01,Co03,11.1,43.5
28,2/12/1991 22:38,39.388575,-74.883471,SP01,Co03,10.9,49.4
29,2/13/1991 20:45,39.723476,-74.296789,SP01,Co01,10.3,31.4
30,2/16/1991 12:44,39.404272,-74.907558,SP01,Co03,15.7,104.3
31,2/18/1991 6:55,39.55601,-74.773332,SP01,Co02,11.7,62.1
32,2/18/1991 7:44,39.469278,-74.713678,SP01,Co02,14.9,115.9
33,2/20/1991 3:23,39.30567,-74.91628,SP01,Co03,19,192.4
34,2/24/1991 9:08,39.69456,-74.91628,SP01,Co07,11.2,44.6
35,2/24/1991 21:18,39.566238,-74.871674,SP01,Co02,10.2,42.4
36,2/25/1991 16:38,39.66679,-74.38848,SP01,Co01,9.8,24.8
37,2/27/1991 12:12,39.217526,-74.730156,SP01,Co05,12.4,74.3
38,3/5/1991 23:51,41.107854,-74.39924,SP05,Co10,9.1,35.6
39,3/6/1991 11:42,41.154165,-74.872088,SP05,Co11,12.9,112.8
40,3/7/1991 9:05,39.30567,-75.05518,SP01,Co03,11,53.6
41,3/7/1991 22:21,39.531204,-74.678686,SP01,Co02,14.7,104.4
42,3/11/1991 8:57,39.605518,-74.905473,SP01,Co06,9.8,28.5
43,3/15/1991 1:17,40.25011,-74.16625,SP01,Co09,10.8,42.4
44,3/16/1991 8:43,39.714813,-74.486593,SP01,Co04,9.9,26.2
45,3/17/1991 1:01,39.33345,-75.05518,SP01,Co03,10.9,52.7
46,3/19/1991 13:35,39.378921,-75.039976,SP01,Co03,12,65.2
47,3/22/1991 12:01,41.107854,-74.39924,SP05,Co10,11.3,80.9
48,3/22/1991 18:31,39.913956,-74.255288,SP01,Co01,10.9,36.3
49,3/23/1991 19:37,40.105281,-74.235435,SP01,Co01,9.9,34.5
50,3/24/1991 7:03,39.712014,-74.499853,SP01,Co04,16.2,155.5
51,3/25/1991 7:07,39.7779,-74.63849,SP01,Co04,11.4,41.3
52,3/25/1991 16:07,39.245729,-74.86289,SP02,Co05,9.4,29.2
53,3/27/1991 2:12,39.567115,-74.922852,SP01,Co02,17.5,195.9
54,3/27/1991 17:15,39.385791,-74.62793,SP01,Co02,11.4,58.9
55,3/27/1991 18:54,39.805953,-74.643189,SP01,Co04,16,154.2
56,3/29/1991 2:25,39.905565,-74.417005,SP01,Co01,10.7,41
57,4/1/1991 4:21,39.48769,-74.821099,SP01,Co02,13.9,98.2
58,4/2/1991 17:33,39.909698,-74.648155,SP01,Co04,12.4,69
59,4/6/1991 16:26,39.721007,-74.723939,SP01,Co02,9.4,21.7
60,4/7/1991 6:08,39.531204,-74.678686,SP01,Co02,13.8,94.6
61,4/8/1991 1:26,40.247493,-74.10596,SP01,Co09,11.9,62.4
62,4/8/1991 13:31,39.686089,-74.65232,SP03,Co04,10.9,41.7
63,4/8/1991 15:43,39.639426,-74.635999,SP01,Co04,17.7,206.5
64,4/9/1991 15:02,39.321903,-75.057033,SP03,Co03,15.3,144.6
65,4/14/1991 15:23,39.685516,-74.604399,SP01,Co04,9.5,27.3
66,4/14/1991 19:43,40.19456,-74.27737,SP03,Co09,9.2,37.6
67,4/15/1991 8:33,39.218159,-74.814569,SP01,Co05,15.4,132.6
68,4/18/1991 15:17,39.370013,-75.172684,SP02,Co03,14.9,106.8
69,4/18/1991 17:14,39.909698,-74.648155,SP01,Co04,9,18.5
70,4/19/1991 12:35,40.418127,-74.338749,SP01,Co12,12.9,78
71,4/20/1991 21:57,39.435902,-74.567135,SP01,Co02,9.1,21.3
72,4/21/1991 12:55,39.64451,-74.374074,SP01,Co01,9.2,21.8
73,4/21/1991 23:43,39.431334,-75.087206,SP03,Co03,11.5,54
74,4/21/1991 23:44,41.107854,-74.39924,SP05,Co10,14.3,160.6
75,4/26/1991 2:28,39.639426,-74.635999,SP01,Co04,16.7,178.9
76,4/27/1991 23:36,39.319608,-75.010673,SP01,Co03,14.7,129.1
77,4/28/1991 18:38,39.769485,-74.489389,SP01,Co04,9.1,17.4
78,4/29/1991 4:49,39.773568,-74.708721,SP01,Co04,14.9,123.1
79,4/30/1991 18:14,39.64451,-74.374074,SP01,Co01,13.2,77.3
80,4/30/1991 21:59,40.360394,-74.276618,SP01,Co09,11.9,62.4
81,5/2/1991 2:12,39.794103,-74.659666,SP01,Co04,11.7,58.1
82,5/2/1991 16:25,40.058044,-74.275412,SP01,Co01,9.1,20.4
83,5/2/1991 18:59,39.648309,-74.593992,SP01,Co04,13.4,89.8
84,5/2/1991 21:53,40.058044,-74.275412,SP01,Co01,12.3,61.1
85,5/4/1991 5:06,39.33345,-74.8885,SP01,Co03,13.2,76.4
86,5/7/1991 12:03,39.759413,-74.701501,SP01,Co04,10.4,41.1
87,5/8/1991 5:08,39.823341,-74.535286,SP01,Co04,12.5,77.3
88,5/9/1991 2:23,39.85271,-74.44371,SP01,Co04,15.9,135.4
89,5/9/1991 15:30,39.47234,-74.61071,SP01,Co02,11.3,64.1
90,5/19/1991 7:53,39.608215,-74.868051,SP01,Co02,10.4,39
91,5/21/1991 15:40,39.641808,-74.905103,SP01,Co07,13,82.6
92,5/22/1991 10:07,40.139,-74.41626,SP01,Co01,10,33.8
93,5/25/1991 0:45,39.603618,-74.898339,SP01,Co06,10.5,33.6
94,5/25/1991 10:44,39.677445,-74.443333,SP01,Co04,9.4,22.8
95,5/25/1991 14:00,39.903073,-74.441708,SP01,Co01,9.8,29.3
96,5/26/1991 10:12,39.321903,-75.057033,SP03,Co03,22.5,344
97,5/26/1991 19:12,40.177392,-74.336186,SP01,Co09,10.6,42.5
98,5/26/1991 23:57,39.765734,-74.959542,SP03,Co07,9.9,38.4
99,5/27/1991 4:23,39.58345,-74.72183,SP01,Co02,11.4,37.5
100,5/30/1991 9:34,39.27789,-75.05518,SP01,Co03,13.2,100.3
101,5/30/1991 21:46,40.177392,-74.336186,SP01,Co09,9.9,33.4
102,6/2/1991 18:19,39.52257,-74.812317,SP01,Co02,10.5,38.5
103,6/4/1991 9:36,39.697263,-74.609223,SP01,Co04,12.7,79.5
104,6/4/1991 15:11,39.865894,-74.238703,SP01,Co01,9.4,22.8
105,6/4/1991 20:41,39.603618,-74.898339,SP01,Co06,11.3,48.4
